oCounty,OriginX,OriginY,DepartTime,TripNodeCount,TripNode1:,DestX1,DestY1,Riders1,TripNode2:,DestX2,DestY2,Riders2,TripNode3:,DestX3,DestY3,Riders3,TotalRiders,vehicleMiles,tripMiles,AVO,VehTourEndCounty,VehTourEnd_xPixel,VehTourEnd_yPixel,VehTourEnd_Time
WES,200.0,294.0,20859.4,3,1,167.0,266.0,1,2,125.0,220.0,3,3,128.0,212.0,1,5,68.5,281.1,4.1,MID-1,128.0,212.0,29075.5,
WES,200.0,294.0,20897.6,3,1,170.0,273.0,2,2,117.0,225.0,1,3,130.0,210.0,1,4,76.8,174.3,2.3,MID-1,130.0,210.0,30111.8,
WES,200.0,294.0,20918.3,3,1,171.0,258.0,1,2,127.0,220.0,1,3,104.0,235.0,1,3,79.1,157.7,2.0,SOM-2,104.0,235.0,30409.6,
WES,200.0,294.0,20930.2,3,1,164.0,274.0,1,2,172.0,191.0,1,3,174.0,191.0,1,3,75.9,152.5,2.0,MON-2,174.0,191.0,30043.0,
WES,200.0,294.0,20958.1,3,1,163.0,264.0,1,2,143.0,241.0,1,3,126.0,200.0,1,3,73.5,147.1,2.0,MID-1,126.0,200.0,29777.9,
WES,200.0,294.0,20983.7,3,1,173.0,264.0,1,2,142.0,270.0,1,3,105.0,283.0,1,3,66.7,119.3,1.8,MOR-3,105.0,283.0,28986.7,
WES,200.0,294.0,21000.2,3,1,143.0,215.0,1,2,125.0,219.0,1,3,124.0,221.0,1,3,70.9,185.3,2.6,MID-2,124.0,221.0,29502.8,
WES,200.0,294.0,21022.7,3,1,165.0,284.0,2,2,144.0,281.0,1,3,128.0,208.0,1,4,79.4,145.5,1.8,MID-1,128.0,208.0,30551.6,
WES,200.0,294.0,21037.6,3,1,166.0,261.0,1,2,169.0,197.0,1,3,168.0,175.0,1,3,80.1,163.5,2.0,MON-1,168.0,175.0,30647.7,
WES,200.0,294.0,21054.1,3,1,155.0,253.0,1,2,155.0,244.0,1,3,122.0,216.0,1,3,67.9,143.1,2.1,MID-2,122.0,216.0,29201.2,
WES,200.0,294.0,21065.0,3,1,118.0,272.0,1,2,113.0,245.0,1,3,87.0,224.0,1,3,87.5,190.6,2.2,HUN,87.0,224.0,31561.2,
WES,200.0,294.0,21152.1,3,1,172.0,268.0,1,2,152.0,274.0,1,3,135.0,254.0,1,3,51.2,99.9,2.0,ESS-3,135.0,254.0,27296.6,
