oCounty,OriginX,OriginY,DepartTime,TripNodeCount,TripNode1:,DestX1,DestY1,Riders1,TripNode2:,DestX2,DestY2,Riders2,TripNode3:,DestX3,DestY3,Riders3,TotalRiders,vehicleMiles,tripMiles,AVO,VehTourEndCounty,VehTourEnd_xPixel,VehTourEnd_yPixel,VehTourEnd_Time
ATL,124.0,62.0,20629.4,2,1,66.0,53.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,87.8,113.6,1.3,SOU,5.0,116.0,31169.2,
ATL,124.0,62.0,20935.7,3,1,60.0,81.0,1,2,25.0,118.0,1,3,5.0,116.0,1,3,82.7,186.7,2.3,SOU,5.0,116.0,30856.7,
ATL,124.0,62.0,21263.0,3,1,109.0,50.0,1,2,63.0,67.0,1,3,5.0,116.0,2,4,86.5,205.1,2.4,SOU,5.0,116.0,31643.8,
ATL,124.0,62.0,21578.0,3,1,101.0,47.0,1,2,28.0,119.0,1,3,5.0,116.0,2,4,91.9,240.3,2.6,SOU,5.0,116.0,32607.5,
ATL,125.0,62.0,20443.4,2,1,65.0,66.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,82.9,115.0,1.4,SOU,5.0,116.0,30396.4,
ATL,125.0,62.0,21324.1,3,1,57.0,117.0,1,2,62.0,113.0,1,3,5.0,116.0,1,3,90.6,180.1,2.0,SOU,5.0,116.0,32191.9,
ATL,125.0,62.0,63504.9,3,1,60.0,88.0,1,2,51.0,111.0,1,3,5.0,116.0,1,3,84.6,174.2,2.1,SOU,5.0,116.0,73655.2,
ATL,125.0,62.0,66865.9,2,1,61.0,47.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,92.8,118.4,1.3,SOU,5.0,116.0,77997.0,
ATL,125.0,62.0,69112.6,3,1,63.0,80.0,1,2,61.0,69.0,2,3,5.0,116.0,1,4,89.3,194.9,2.2,SOU,5.0,116.0,79829.8,
ATL,125.0,62.0,69992.1,3,1,61.0,70.0,1,2,43.0,59.0,1,3,5.0,116.0,1,3,92.5,166.9,1.8,SOU,5.0,116.0,81087.2,
ATL,125.0,62.0,73006.3,3,1,114.0,79.0,1,2,60.0,69.0,1,3,5.0,116.0,1,3,88.5,130.3,1.5,SOU,5.0,116.0,83627.3,
ATL,126.0,62.0,55045.3,3,1,71.0,125.0,1,2,73.0,123.0,1,3,5.0,116.0,1,3,92.9,178.2,1.9,SOU,5.0,116.0,66192.2,
ATL,126.0,62.0,56117.2,3,1,64.0,74.0,1,2,40.0,74.0,1,3,5.0,116.0,1,3,85.1,169.5,2.0,SOU,5.0,116.0,66328.4,
ATL,126.0,62.0,59452.8,3,1,60.0,69.0,1,2,38.0,72.0,1,3,5.0,116.0,1,3,86.1,172.5,2.0,SOU,5.0,116.0,69790.1,
ATL,126.0,62.0,65699.1,3,1,101.0,67.0,2,2,45.0,54.0,1,3,5.0,116.0,1,4,94.1,158.9,1.7,SOU,5.0,116.0,76986.4,
ATL,126.0,62.0,66260.7,3,1,118.0,79.0,1,2,108.0,80.0,1,3,5.0,116.0,2,4,82.8,185.5,2.2,SOU,5.0,116.0,76193.0,
ATL,126.0,62.0,66619.0,3,1,121.0,62.0,1,2,47.0,124.0,1,3,5.0,116.0,2,4,86.6,222.3,2.6,SOU,5.0,116.0,77008.2,
ATL,126.0,62.0,69985.4,3,1,38.0,72.0,1,2,41.0,66.0,1,3,5.0,116.0,1,3,94.1,183.7,2.0,SOU,5.0,116.0,81281.2,
ATL,126.0,62.0,72507.9,3,1,111.0,62.0,1,2,49.0,130.0,1,3,5.0,116.0,2,4,91.9,229.6,2.5,SOU,5.0,116.0,83538.0,
ATL,126.0,62.0,73010.8,3,1,62.0,79.0,1,2,39.0,72.0,1,3,5.0,116.0,1,3,87.5,171.8,2.0,SOU,5.0,116.0,83513.2,
ATL,126.0,62.0,73723.1,3,1,62.0,79.0,1,2,50.0,79.0,1,3,5.0,116.0,1,3,81.9,166.0,2.0,SOU,5.0,116.0,83549.5,
ATL,126.0,62.0,74861.2,3,1,60.0,131.0,1,2,42.0,128.0,1,3,5.0,116.0,1,3,91.6,200.9,2.2,SOU,5.0,116.0,85850.4,
ATL,126.0,62.0,76071.8,3,1,65.0,53.0,1,2,61.0,69.0,1,3,5.0,116.0,1,3,90.8,155.7,1.7,SOU,5.0,116.0,86962.7,
ATL,104.0,63.0,22629.9,1,1,5.0,116.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,67.4,67.4,1.0,SOU,5.0,116.0,30715.1,
ATL,105.0,63.0,22387.7,3,1,57.0,115.0,1,2,11.0,107.0,1,3,5.0,116.0,1,3,77.0,172.6,2.2,SOU,5.0,116.0,31623.5,
ATL,109.0,63.0,22261.1,3,1,62.0,80.0,1,2,36.0,70.0,1,3,5.0,116.0,1,3,80.0,144.0,1.8,SOU,5.0,116.0,31859.2,
ATL,110.0,63.0,21565.2,3,1,92.0,101.0,1,2,60.0,119.0,1,3,5.0,116.0,2,4,80.3,211.4,2.6,SOU,5.0,116.0,31202.0,
ATL,111.0,63.0,21794.2,2,1,58.0,115.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,76.4,115.7,1.5,SOU,5.0,116.0,30956.8,
ATL,112.0,63.0,21361.6,2,1,60.0,73.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,73.7,103.4,1.4,SOU,5.0,116.0,30200.8,
ATL,112.0,63.0,22197.8,3,1,115.0,71.0,1,2,68.0,106.0,1,3,5.0,116.0,1,3,78.6,113.7,1.4,SOU,5.0,116.0,31624.9,
ATL,112.0,63.0,56612.9,3,1,61.0,78.0,1,2,60.0,73.0,1,3,5.0,116.0,1,3,76.8,135.3,1.8,SOU,5.0,116.0,65834.2,
ATL,112.0,63.0,58128.1,3,1,44.0,126.0,1,2,40.0,116.0,1,3,5.0,116.0,1,3,83.1,180.9,2.2,SOU,5.0,116.0,68097.8,
ATL,112.0,63.0,69715.7,3,1,61.0,68.0,1,2,25.0,91.0,1,3,5.0,116.0,1,3,75.6,157.2,2.1,SOU,5.0,116.0,78786.3,
ATL,112.0,63.0,70933.1,3,1,45.0,122.0,1,2,48.0,128.0,2,3,5.0,116.0,1,4,84.4,234.7,2.8,SOU,5.0,116.0,81058.1,
ATL,112.0,63.0,71842.9,3,1,65.0,116.0,1,2,49.0,130.0,1,3,5.0,116.0,1,3,83.0,169.3,2.0,SOU,5.0,116.0,81798.4,
ATL,113.0,63.0,57827.5,3,1,65.0,77.0,1,2,41.0,113.0,1,3,5.0,116.0,1,3,77.6,154.8,2.0,SOU,5.0,116.0,67143.7,
ATL,113.0,63.0,72445.1,3,1,117.0,68.0,1,2,88.0,102.0,1,3,5.0,116.0,3,5,81.2,248.2,3.1,SOU,5.0,116.0,82184.0,
ATL,113.0,63.0,72788.9,3,1,102.0,87.0,1,2,53.0,114.0,2,3,5.0,116.0,3,6,78.2,326.9,4.2,SOU,5.0,116.0,82176.9,
ATL,113.0,63.0,73084.0,3,1,107.0,66.0,1,2,65.0,71.0,1,3,5.0,116.0,2,4,74.4,177.6,2.4,SOU,5.0,116.0,82012.4,
ATL,113.0,63.0,73538.5,3,1,92.0,76.0,1,2,63.0,68.0,1,3,5.0,116.0,1,3,78.0,117.2,1.5,SOU,5.0,116.0,82903.4,
ATL,123.0,63.0,20557.8,2,1,83.0,98.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,79.9,109.5,1.4,SOU,5.0,116.0,30148.3,
ATL,123.0,63.0,65374.1,3,1,107.0,58.0,1,2,48.0,129.0,1,3,5.0,116.0,1,3,92.4,147.6,1.6,SOU,5.0,116.0,76462.1,
